! =====================================================================
! 1. CABECALHO DA MALHA
! [N� de Nos Fisicos]  [N� de Elementos]  [Ordem VEM (k)]  [DOFs por No]
! =====================================================================
128  35  2  2

! =====================================================================
! 2. COORDENADAS E TIPOS DOS NOS (1=Vertice, 2=Aresta)
! [X]  [Y]  [type_id]
! =====================================================================
! No 1
6.62372154185448E+03  1.40262049114563E+03  2
! No 72
6.62401566342746E+03  1.39290435801766E+03  2
! No 73
6.60245640803071E+03  1.41100754430539E+03  2
! No 74
6.60151951528497E+03  1.39999126094860E+03  2
! No 75
6.73648032150409E+03  1.38340971629380E+03  2
! No 76
6.73873076990360E+03  1.39404207154248E+03  2
! No 77
6.68995925019647E+03  1.37323271581259E+03  2
! No 78
6.66813936867317E+03  1.37614758125631E+03  2
! No 79
6.67040414667574E+03  1.36827648757352E+03  2
! No 80
6.64489741878296E+03  1.37701030574588E+03  2
! No 81
6.64716219678587E+03  1.36913921206294E+03  2
! No 82
6.62418274938860E+03  1.38329014562623E+03  2
! No 83
6.62311685358011E+03  1.37498853060182E+03  2
! No 84
6.60043662052966E+03  1.39013398851150E+03  2
! No 85
6.60060370649035E+03  1.38051977612016E+03  2
! No 86
6.57961662745114E+03  1.39578102391901E+03  2
! No 87
6.57853373269582E+03  1.38592375148191E+03  2
! No 88
6.75785889217567E+03  1.36980740549409E+03  2
! No 89
6.76123231469757E+03  1.37832001754546E+03  2
! No 90
6.73310689898265E+03  1.37489710424216E+03  2
! No 91
6.70921006130046E+03  1.37100099458551E+03  2
! No 92
6.73105862082628E+03  1.36779208860456E+03  2
! No 93
6.68876589411748E+03  1.36727083013917E+03  2
! No 94
6.70801670522067E+03  1.36503910891192E+03  2
! No 95
6.66679650188196E+03  1.36360932723709E+03  2
! No 96
6.68515824932369E+03  1.36260366980275E+03  2
! No 97
6.65317576512716E+03  1.36369474463483E+03  2
! No 98
6.62551423873338E+03  1.36857214478935E+03  2
! No 99
6.63152780707469E+03  1.36312767736123E+03  2
! No 100
6.60310090002276E+03  1.37237965967772E+03  2
! No 101
6.60549828517610E+03  1.36596327386528E+03  2
! No 102
6.58104112775389E+03  1.36891392672736E+03  2
! No 103
6.57854393422147E+03  1.37705404316980E+03  2
! No 104
6.55677684687157E+03  1.38055450353263E+03  2
! No 105
6.55678704839721E+03  1.37168479522051E+03  2
! No 106
6.78373385949153E+03  1.36259796354843E+03  2
! No 107
6.75538794286960E+03  1.36224634266719E+03  2
! No 108
6.78126291018547E+03  1.35503690072154E+03  2
! No 109
6.72999002530812E+03  1.36117164734562E+03  2
! No 110
6.75431934735144E+03  1.35562590140825E+03  2
! No 111
6.70540246443137E+03  1.36008236366066E+03  2
! No 112
6.72737578451738E+03  1.35621490209498E+03  2
! No 113
6.67968812600432E+03  1.35933613657992E+03  2
! No 114
6.69993234111131E+03  1.35681483043821E+03  2
! No 115
